date,value
2020-02-17,1952.304
2020-02-16,1934.681
2020-02-15,1931.981
2020-02-14,1942.848
2020-02-13,1951.002
2020-02-12,1936.092
2020-02-11,1945.603
2020-02-10,1949.686
2020-02-09,1952.414
2020-02-08,1952.427
2020-02-07,1947.014
2020-02-06,1948.384
2020-02-05,1952.468
2020-02-04,1938.914
2020-02-03,1947.069
2020-02-02,1949.796
2020-02-01,1952.523
2020-01-31,1949.823
2020-01-30,1949.837
2020-01-29,1947.137
2020-01-28,1952.578
2020-01-27,1952.592
2020-01-26,1944.464
2020-01-25,1943.12
2020-01-24,1941.777
2020-01-23,1951.289
2020-01-22,1943.161
2020-01-21,1875.327
2020-01-20,1952.687
2020-01-19,1935.06
2020-01-18,1935.074
2020-01-17,1952.729
2020-01-16,1951.385
2020-01-15,1951.399
2020-01-14,1948.698
2020-01-13,1951.426
2020-01-12,1950.083
2020-01-11,1943.311
2020-01-10,1936.539
2020-01-09,1951.481
2020-01-08,1944.709
2020-01-07,1952.865
2020-01-06,1952.879
2020-01-05,1950.178
2020-01-04,1951.549
2020-01-03,1943.42
2020-01-02,1950.219
2020-01-01,1893.233
2019-12-31,1951.604
2019-12-30,1939.403
2019-12-29,1950.274
2019-12-28,1950.288
