start,duration,value
2019-12-28T11:49:00+01:00,"[60,60]","[5.68,4.43]"
2019-12-28T12:12:00+01:00,"[60,60,60,60,60]","[21.36,0,0,0,11.08]"
2019-12-28T12:17:00+01:00,"[60,60,60,60,60,60,60,60,60,60,60,61,59,60]","[30.95,76.67,86.99,74.69,51.81,89.09,89.75,88.21,102.05,102.05,103.7,103.61,89.27,82.96]"
2019-12-28T12:31:00+01:00,"[60,60,60,60,60,60,60,60,60,60,60]","[101.8,100.16,90.91,86.34,98.5,97.54,94.03,79.8,28.64,82.9,6.72]"
2019-12-28T12:42:00+01:00,"[60,60,60,60,60,60,60,60]","[11.9,26.28,45.19,24.1,94.1,88.38,90.62,77.53]"
2019-12-28T12:51:00+01:00,"[60,60,60,60,60]","[34.41,0,0,0,9.9]"
2019-12-28T12:57:00+01:00,"[60,60,60,60,60,60]","[0,0,9.61,13.45,6.76,0]"
2019-12-28T13:04:00+01:00,"[60,60,60]","[0,12.26,49.51]"
2019-12-28T13:11:00+01:00,"[60,60,60]","[44.47,7.05,0]"
2019-12-28T13:17:00+01:00,"[60,60]","[4.54,13.44]"
2019-12-28T13:23:00+01:00,[60],[18.58]
2019-12-28T13:26:00+01:00,"[60,60,60,60,60,60]","[7.33,14.75,31.8,10.94,9.52,47.4]"
2019-12-28T13:32:00+01:00,"[60,60,60]","[53.14,28.22,69.59]"
2019-12-28T13:35:00+01:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[90.71,77.12,76.44,88.31,95.03,93.74,90.79,77.75,88.04,93.7,90.95,93.58,87.95,73.36,99.25,97.84,99.32,85.17,48.56,93.66,91.9,39.89]"
2019-12-28T13:58:00+01:00,[60],[12.07]
2019-12-28T14:00:00+01:00,[60],[6.34]
2019-12-28T14:06:00+01:00,[60],[5.019]
2019-12-28T14:15:00+01:00,[60],[6.1]
2019-12-28T14:33:00+01:00,"[60,60]","[17.17,0]"
2019-12-28T14:37:00+01:00,[60],[0]
2019-12-28T14:51:00+01:00,[60],[0]
2019-12-28T14:55:00+01:00,[60],[6.29]
2019-12-28T14:58:00+01:00,[60],[31.7]
2019-12-28T15:00:00+01:00,[60],[17.17]
2019-12-28T15:06:00+01:00,"[60,60,60,60,60,60,60,60]","[18.31,46.98,15.46,52.43,66.08,24.95,22.4,15.95]"
2019-12-28T15:32:00+01:00,[60],[5.019]
2019-12-28T15:41:00+01:00,[60],[9.33]
2019-12-28T15:44:00+01:00,[60],[7.59]
2019-12-28T16:00:00+01:00,"[60,60]","[11.32,36.5]"
2019-12-28T16:05:00+01:00,[60],[0]
2019-12-28T16:15:00+01:00,[60],[10.19]
2019-12-28T16:24:00+01:00,"[60,60]","[6.35,14.41]"
2019-12-28T16:27:00+01:00,[60],[13.04]
2019-12-28T16:38:00+01:00,[60],[15.72]
2019-12-28T17:00:00+01:00,"[60,60]","[11.96,4.58]"
2019-12-28T17:19:00+01:00,[60],[6.89]
2019-12-28T17:30:00+01:00,[60],[9.5]
2019-12-28T17:46:00+01:00,[60],[7.26]
2019-12-28T16:26:00+01:00,[60],[13.384]
2019-12-28T17:50:00+01:00,[60],[14.93]
2019-12-28T17:59:00+01:00,[60],[5.18]
2019-12-28T18:04:00+01:00,"[60,60,60]","[20.05,8.73,10.06]"
2019-12-28T18:10:00+01:00,"[60,60,60]","[0,0,0]"
2019-12-28T18:17:00+01:00,"[60,60,60,60]","[51.51,103.79,46.31,53.57]"
2019-12-28T18:22:00+01:00,"[60,60,60]","[97.14,47.64,0]"
2019-12-28T18:21:00+01:00,[60],[12.547]
2019-12-28T18:25:00+01:00,[60],[5.56]
2019-12-28T18:56:00+01:00,[60],[7.12]
2019-12-28T19:06:00+01:00,[60],[5.31]
2019-12-28T19:11:00+01:00,[60],[0]
2019-12-28T19:14:00+01:00,[60],[7.07]
2019-12-28T19:21:00+01:00,[60],[9.57]
2019-12-28T19:24:00+01:00,[60],[0]
2019-12-28T19:35:00+01:00,"[60,60]","[11.46,4.58]"
2019-12-28T19:39:00+01:00,[60],[11.47]
2019-12-28T18:28:00+01:00,[60],[8.365]
2019-12-28T19:42:00+01:00,[60],[7.32]
2019-12-28T19:57:00+01:00,"[60,60]","[12.78,12.53]"
2019-12-28T20:35:00+01:00,[60],[5.85]
2019-12-28T20:47:00+01:00,[60],[0]
2019-12-28T20:49:00+01:00,[60],[6.85]
2019-12-28T20:53:00+01:00,[60],[8.4]
2019-12-28T20:55:00+01:00,[60],[0]
