start,duration,value
2019-12-28T12:45:21+01:00,[60],[7.001211]
2019-12-28T12:45:26+01:00,[60],[7.005169]
2019-12-28T12:45:36+01:00,[60],[7.001211]
2019-12-28T12:45:41+01:00,[60],[7.005169]
2019-12-28T12:46:23+01:00,[60],[7.001211]
2019-12-28T12:46:27+01:00,[60],[7.00517]
2019-12-28T12:46:54+01:00,[60],[7.005136]
2019-12-28T12:47:35+01:00,[60],[7.001211]
2019-12-28T12:47:39+01:00,[60],[7.005157]
2019-12-28T12:50:14+01:00,[60],[7.001211]
2019-12-28T12:50:19+01:00,[60],[7.005169]
2019-12-28T13:36:57+01:00,[60],[7.007963]
2019-12-28T13:37:06+01:00,[60],[7.008021]
2019-12-28T13:37:12+01:00,[60],[7.008046]
2019-12-28T13:37:25+01:00,[60],[7.008136]
2019-12-28T13:37:26+01:00,[60],[7.008178]
2019-12-28T13:37:27+01:00,[60],[7.008199]
2019-12-28T13:37:30+01:00,[60],[7.008283]
2019-12-28T13:37:32+01:00,[60],[7.008326]
2019-12-28T13:37:33+01:00,[60],[7.008343]
2019-12-28T13:37:35+01:00,[60],[7.008445]
2019-12-28T13:37:36+01:00,[60],[7.008493]
2019-12-28T13:37:40+01:00,[60],[7.008606]
2019-12-28T13:37:42+01:00,[60],[7.008652]
2019-12-28T13:37:47+01:00,[60],[7.008763]
2019-12-28T13:37:50+01:00,[60],[7.008804]
2019-12-28T13:37:57+01:00,[60],[7.008913]
2019-12-28T13:37:58+01:00,[60],[7.008935]
2019-12-28T13:38:04+01:00,[60],[7.009056]
2019-12-28T13:38:06+01:00,[60],[7.0091]
2019-12-28T13:38:11+01:00,[60],[7.009207]
2019-12-28T13:38:14+01:00,[60],[7.009244]
2019-12-28T13:38:21+01:00,[60],[7.009368]
2019-12-28T13:38:23+01:00,[60],[7.009394]
2019-12-28T13:38:30+01:00,[60],[7.009501]
2019-12-28T13:38:31+01:00,[60],[7.009528]
2019-12-28T13:38:36+01:00,[60],[7.009596]
2019-12-28T13:38:37+01:00,[60],[7.009601]
2019-12-28T13:38:38+01:00,[60],[7.009604]
2019-12-28T13:38:39+01:00,[60],[7.009598]
2019-12-28T13:38:42+01:00,[60],[7.009589]
2019-12-28T13:38:44+01:00,[60],[7.009585]
2019-12-28T13:38:48+01:00,[60],[7.009588]
2019-12-28T13:38:52+01:00,[60],[7.009564]
2019-12-28T13:38:54+01:00,[60],[7.009539]
2019-12-28T13:38:57+01:00,[60],[7.009563]
2019-12-28T13:38:59+01:00,[60],[7.009607]
2019-12-28T13:39:02+01:00,[60],[7.009712]
2019-12-28T13:39:03+01:00,[60],[7.009754]
2019-12-28T13:39:06+01:00,[60],[7.009844]
2019-12-28T13:39:07+01:00,[60],[7.009879]
2019-12-28T13:39:12+01:00,[60],[7.009998]
2019-12-28T13:39:13+01:00,[60],[7.010025]
2019-12-28T13:39:17+01:00,[60],[7.010129]
2019-12-28T13:39:19+01:00,[60],[7.010153]
2019-12-28T13:39:26+01:00,[60],[7.010277]
2019-12-28T13:39:27+01:00,[60],[7.0103]
2019-12-28T13:39:32+01:00,[60],[7.01043]
2019-12-28T13:39:33+01:00,[60],[7.010459]
2019-12-28T13:39:35+01:00,[60],[7.010463]
2019-12-28T13:39:44+01:00,[60],[7.010461]
2019-12-28T13:39:45+01:00,[60],[7.010469]
2019-12-28T13:39:48+01:00,[60],[7.010543]
2019-12-28T13:39:49+01:00,[60],[7.010549]
2019-12-28T13:39:50+01:00,[60],[7.010555]
2019-12-28T13:39:54+01:00,[60],[7.01057]
2019-12-28T13:39:55+01:00,[60],[7.010573]
2019-12-28T13:39:58+01:00,[60],[7.010575]
2019-12-28T13:39:59+01:00,[60],[7.010574]
2019-12-28T13:40:03+01:00,[60],[7.010546]
2019-12-28T13:40:04+01:00,[60],[7.010536]
2019-12-28T13:40:11+01:00,[60],[7.010419]
2019-12-28T13:40:13+01:00,[60],[7.01041]
2019-12-28T13:40:18+01:00,[60],[7.010446]
2019-12-28T13:40:19+01:00,[60],[7.010454]
2019-12-28T13:40:24+01:00,[60],[7.010506]
2019-12-28T13:40:25+01:00,[60],[7.010512]
2019-12-28T13:40:31+01:00,[60],[7.010562]
2019-12-28T13:40:32+01:00,[60],[7.010571]
2019-12-28T13:40:38+01:00,[60],[7.0106]
2019-12-28T13:40:39+01:00,[60],[7.010601]
2019-12-28T13:40:46+01:00,[60],[7.010603]
2019-12-28T13:40:47+01:00,[60],[7.010602]
2019-12-28T13:40:56+01:00,[60],[7.010564]
2019-12-28T13:40:57+01:00,[60],[7.010562]
2019-12-28T13:41:03+01:00,[60],[7.010524]
2019-12-28T13:41:07+01:00,[60],[7.010393]
2019-12-28T13:41:10+01:00,[60],[7.010251]
2019-12-28T13:41:14+01:00,[60],[7.01013]
2019-12-28T13:41:21+01:00,[60],[7.010111]
2019-12-28T13:41:24+01:00,[60],[7.010147]
2019-12-28T13:41:28+01:00,[60],[7.010178]
2019-12-28T13:41:32+01:00,[60],[7.010232]
2019-12-28T13:41:38+01:00,[60],[7.010306]
2019-12-28T13:41:44+01:00,[60],[7.010386]
2019-12-28T13:41:55+01:00,[60],[7.010448]
2019-12-28T13:41:56+01:00,[60],[7.010448]
2019-12-28T13:42:04+01:00,[60],[7.010515]
2019-12-28T13:42:12+01:00,[60],[7.010642]
2019-12-28T13:42:19+01:00,[60],[7.010782]
2019-12-28T13:42:29+01:00,[60],[7.010826]
2019-12-28T13:42:38+01:00,[60],[7.010891]
2019-12-28T13:42:46+01:00,[60],[7.010976]
2019-12-28T13:42:53+01:00,[60],[7.011074]
2019-12-28T13:42:58+01:00,[60],[7.011184]
2019-12-28T13:43:03+01:00,[60],[7.011314]
2019-12-28T13:43:12+01:00,[60],[7.011465]
2019-12-28T13:43:19+01:00,[60],[7.011624]
2019-12-28T13:43:24+01:00,[60],[7.011803]
2019-12-28T13:43:27+01:00,[60],[7.011945]
2019-12-28T13:43:33+01:00,[60],[7.01211]
2019-12-28T13:43:39+01:00,[60],[7.012264]
2019-12-28T13:43:47+01:00,[60],[7.012267]
2019-12-28T13:43:53+01:00,[60],[7.012239]
2019-12-28T13:43:57+01:00,[60],[7.012193]
2019-12-28T13:44:02+01:00,[60],[7.012137]
2019-12-28T13:44:08+01:00,[60],[7.012149]
2019-12-28T13:44:15+01:00,[60],[7.012182]
2019-12-28T13:44:24+01:00,[60],[7.012211]
2019-12-28T13:44:31+01:00,[60],[7.012205]
2019-12-28T13:44:38+01:00,[60],[7.012219]
2019-12-28T13:44:47+01:00,[60],[7.012205]
2019-12-28T13:44:52+01:00,[60],[7.012179]
2019-12-28T13:44:58+01:00,[60],[7.012177]
2019-12-28T13:45:07+01:00,[60],[7.012187]
2019-12-28T13:45:12+01:00,[60],[7.012245]
2019-12-28T13:45:19+01:00,[60],[7.01233]
2019-12-28T13:45:25+01:00,[60],[7.012426]
2019-12-28T13:45:33+01:00,[60],[7.01253]
2019-12-28T13:45:39+01:00,[60],[7.012641]
2019-12-28T13:45:44+01:00,[60],[7.012774]
2019-12-28T13:45:49+01:00,[60],[7.01292]
2019-12-28T13:45:55+01:00,[60],[7.012995]
2019-12-28T13:46:02+01:00,[60],[7.01305]
2019-12-28T13:46:09+01:00,[60],[7.013056]
2019-12-28T13:46:22+01:00,[60],[7.013177]
2019-12-28T13:46:28+01:00,[60],[7.01333]
2019-12-28T13:46:33+01:00,[60],[7.01348]
2019-12-28T13:46:38+01:00,[60],[7.01363]
