date,value
2020-02-17,4481.003
2020-02-16,1388.468
2020-02-15,1572.286
2020-02-14,1015.775
2020-02-13,1390.836
2020-02-12,6085.763
2020-02-11,1938.198
2020-02-10,7249.556
2020-02-09,1313.994
2020-02-08,1322.779
2020-02-07,1607.672
2020-02-06,6596.234
2020-02-05,5634.464
2020-02-04,6243.557
2020-02-03,5526.883
2020-02-02,815.92
2020-02-01,1054.553
2020-01-31,4441.915
2020-01-30,12075.595
2020-01-29,4135.06
2020-01-28,4896.583
2020-01-27,3544.716
2020-01-26,5137.646
2020-01-25,4312.005
2020-01-24,5721.692
2020-01-23,10924.374
2020-01-22,5585.025
2020-01-21,6924.246
2020-01-20,2610.714
2020-01-19,981.611
2020-01-18,6068.521
2020-01-17,4381.482
2020-01-16,4400.202
2020-01-15,4326.821
2020-01-14,3040.32
2020-01-13,6227.488
2020-01-12,753.527
2020-01-11,3866.679
2020-01-10,7755.677
2020-01-09,8724.264
2020-01-08,3787.213
2020-01-07,6435.047
2020-01-06,874.587
2020-01-05,6218.898
2020-01-04,3863.339
2020-01-03,5236.387
2020-01-02,1256.613
2020-01-01,4485.328
2019-12-31,4051.128
2019-12-30,6946.877
2019-12-29,13959.732
2019-12-28,6322.617
