date,value
2020-03-22,611
2020-03-21,5563
2020-03-20,3984
2020-03-19,4419
2020-03-18,5349
2020-03-17,5245
2020-03-16,1901
2020-03-15,1717
2020-03-14,1817
2020-03-13,1532
2020-03-12,2149
2020-03-11,1095
2020-03-10,8911
2020-03-09,9677
2020-03-08,1837
2020-03-07,1638
2020-03-06,1452
2020-03-05,8089
2020-03-04,1790
2020-03-03,1422
2020-03-02,3109
2020-03-01,15908
2020-02-29,9456
2020-02-28,8909
2020-02-27,2746
2020-02-26,2801
2020-02-25,1785
2020-02-24,5861
2020-02-23,1342
2020-02-22,10509
2020-02-21,11350
2020-02-20,3987
2020-02-19,8467
2020-02-18,15915
2020-02-17,8977
2020-02-16,1565
2020-02-15,1808
2020-02-14,1152
2020-02-13,1540
2020-02-12,6971
2020-02-11,2207
2020-02-10,8280
2020-02-09,1402
2020-02-08,1430
2020-02-07,1831
2020-02-06,7537
2020-02-05,6556
2020-02-04,7207
2020-02-03,6291
2020-02-02,915
2020-02-01,1195
2020-01-31,5096
2020-01-30,13901
2020-01-29,4704
2020-01-28,5686
2020-01-27,4067
2020-01-26,5893
2020-01-25,4949
2020-01-24,6504
2020-01-23,12456
2020-01-22,6500
2020-01-21,8126
2020-01-20,2903
2020-01-19,1101
2020-01-18,7040
2020-01-17,5010
2020-01-16,5036
2020-01-15,4992
2020-01-14,3595
2020-01-13,7072
2020-01-12,853
2020-01-11,4441
2020-01-10,8304
2020-01-09,10058
2020-01-08,4290
2020-01-07,7473
2020-01-06,942
2020-01-05,7160
2020-01-04,4436
2020-01-03,6042
2020-01-02,1423
2020-01-01,5112
2019-12-31,4863
2019-12-30,8094
2019-12-29,16759
2019-12-28,7370
