start,duration,value
2019-12-28T12:45:21+01:00,[60],[0]
2019-12-28T12:45:26+01:00,[60],[114.299]
2019-12-28T12:45:36+01:00,[60],[114.299]
2019-12-28T12:45:41+01:00,[60],[114.299]
2019-12-28T12:46:23+01:00,[60],[114.299]
2019-12-28T12:46:27+01:00,[60],[114.299]
2019-12-28T12:46:54+01:00,[60],[114.299]
2019-12-28T12:47:35+01:00,[60],[114.299]
2019-12-28T12:47:39+01:00,[60],[114.299]
2019-12-28T12:50:14+01:00,[60],[114.299]
2019-12-28T12:50:19+01:00,[60],[114.299]
2019-12-28T13:36:57+01:00,[60],[114.5]
2019-12-28T13:37:06+01:00,[60],[114.5]
2019-12-28T13:37:12+01:00,[60],[115.699]
2019-12-28T13:37:25+01:00,[60],[117.5]
2019-12-28T13:37:26+01:00,[60],[117.5]
2019-12-28T13:37:27+01:00,[60],[117.5]
2019-12-28T13:37:30+01:00,[60],[119.799]
2019-12-28T13:37:32+01:00,[60],[119.799]
2019-12-28T13:37:33+01:00,[60],[119.799]
2019-12-28T13:37:35+01:00,[60],[119.799]
2019-12-28T13:37:36+01:00,[60],[119.799]
2019-12-28T13:37:40+01:00,[60],[117.9]
2019-12-28T13:37:42+01:00,[60],[117.9]
2019-12-28T13:37:47+01:00,[60],[117.9]
2019-12-28T13:37:50+01:00,[60],[118.699]
2019-12-28T13:37:57+01:00,[60],[118.699]
2019-12-28T13:37:58+01:00,[60],[118.699]
2019-12-28T13:38:04+01:00,[60],[118.699]
2019-12-28T13:38:06+01:00,[60],[118.699]
2019-12-28T13:38:11+01:00,[60],[118.699]
2019-12-28T13:38:14+01:00,[60],[118.699]
2019-12-28T13:38:21+01:00,[60],[118.699]
2019-12-28T13:38:23+01:00,[60],[118.699]
2019-12-28T13:38:30+01:00,[60],[120.599]
2019-12-28T13:38:31+01:00,[60],[121.299]
2019-12-28T13:38:36+01:00,[60],[125.5]
2019-12-28T13:38:37+01:00,[60],[125.5]
2019-12-28T13:38:38+01:00,[60],[125.5]
2019-12-28T13:38:39+01:00,[60],[125.5]
2019-12-28T13:38:42+01:00,[60],[124.699]
2019-12-28T13:38:44+01:00,[60],[124.699]
2019-12-28T13:38:48+01:00,[60],[127.299]
2019-12-28T13:38:52+01:00,[60],[131.3]
2019-12-28T13:38:54+01:00,[60],[131.3]
2019-12-28T13:38:57+01:00,[60],[131.3]
2019-12-28T13:38:59+01:00,[60],[131.3]
2019-12-28T13:39:02+01:00,[60],[121.5]
2019-12-28T13:39:03+01:00,[60],[121.5]
2019-12-28T13:39:06+01:00,[60],[121.5]
2019-12-28T13:39:07+01:00,[60],[131.3]
2019-12-28T13:39:12+01:00,[60],[121.599]
2019-12-28T13:39:13+01:00,[60],[121.599]
2019-12-28T13:39:17+01:00,[60],[121.9]
2019-12-28T13:39:19+01:00,[60],[121.9]
2019-12-28T13:39:26+01:00,[60],[121.599]
2019-12-28T13:39:27+01:00,[60],[121.599]
2019-12-28T13:39:32+01:00,[60],[121.599]
2019-12-28T13:39:33+01:00,[60],[121.599]
2019-12-28T13:39:35+01:00,[60],[121.599]
2019-12-28T13:39:44+01:00,[60],[121]
2019-12-28T13:39:45+01:00,[60],[121]
2019-12-28T13:39:48+01:00,[60],[122.199]
2019-12-28T13:39:49+01:00,[60],[122.199]
2019-12-28T13:39:50+01:00,[60],[122.199]
2019-12-28T13:39:54+01:00,[60],[122.199]
2019-12-28T13:39:55+01:00,[60],[122.199]
2019-12-28T13:39:58+01:00,[60],[122.299]
2019-12-28T13:39:59+01:00,[60],[122.299]
2019-12-28T13:40:03+01:00,[60],[122.5]
2019-12-28T13:40:04+01:00,[60],[122.5]
2019-12-28T13:40:11+01:00,[60],[122.199]
2019-12-28T13:40:13+01:00,[60],[122.5]
2019-12-28T13:40:18+01:00,[60],[122.299]
2019-12-28T13:40:19+01:00,[60],[122.299]
2019-12-28T13:40:24+01:00,[60],[121.5]
2019-12-28T13:40:25+01:00,[60],[121.5]
2019-12-28T13:40:31+01:00,[60],[122.299]
2019-12-28T13:40:32+01:00,[60],[122.799]
2019-12-28T13:40:38+01:00,[60],[122.799]
2019-12-28T13:40:39+01:00,[60],[122.799]
2019-12-28T13:40:46+01:00,[60],[121.5]
2019-12-28T13:40:47+01:00,[60],[121.5]
2019-12-28T13:40:56+01:00,[60],[122.799]
2019-12-28T13:40:57+01:00,[60],[122.799]
2019-12-28T13:41:03+01:00,[60],[124.5]
2019-12-28T13:41:07+01:00,[60],[124.5]
2019-12-28T13:41:10+01:00,[60],[124.5]
2019-12-28T13:41:14+01:00,[60],[124.5]
2019-12-28T13:41:21+01:00,[60],[124.5]
2019-12-28T13:41:24+01:00,[60],[128]
2019-12-28T13:41:28+01:00,[60],[128]
2019-12-28T13:41:32+01:00,[60],[128]
2019-12-28T13:41:38+01:00,[60],[128]
2019-12-28T13:41:44+01:00,[60],[128]
2019-12-28T13:41:55+01:00,[60],[128.5]
2019-12-28T13:41:56+01:00,[60],[128.5]
2019-12-28T13:42:04+01:00,[60],[128]
2019-12-28T13:42:12+01:00,[60],[128.699]
2019-12-28T13:42:19+01:00,[60],[128]
2019-12-28T13:42:29+01:00,[60],[129.2]
2019-12-28T13:42:38+01:00,[60],[129.2]
2019-12-28T13:42:46+01:00,[60],[130.1]
2019-12-28T13:42:53+01:00,[60],[130.1]
2019-12-28T13:42:58+01:00,[60],[130.1]
2019-12-28T13:43:03+01:00,[60],[129.4]
2019-12-28T13:43:12+01:00,[60],[129.4]
2019-12-28T13:43:19+01:00,[60],[128.4]
2019-12-28T13:43:24+01:00,[60],[128.4]
2019-12-28T13:43:27+01:00,[60],[132.8]
2019-12-28T13:43:33+01:00,[60],[132.8]
2019-12-28T13:43:39+01:00,[60],[129.4]
2019-12-28T13:43:47+01:00,[60],[129.3]
2019-12-28T13:43:53+01:00,[60],[129.3]
2019-12-28T13:43:57+01:00,[60],[129.8]
2019-12-28T13:44:02+01:00,[60],[126.4]
2019-12-28T13:44:08+01:00,[60],[126.4]
2019-12-28T13:44:15+01:00,[60],[126.299]
2019-12-28T13:44:24+01:00,[60],[126.299]
2019-12-28T13:44:31+01:00,[60],[126.699]
2019-12-28T13:44:38+01:00,[60],[127.199]
2019-12-28T13:44:47+01:00,[60],[129.2]
2019-12-28T13:44:52+01:00,[60],[127.199]
2019-12-28T13:44:58+01:00,[60],[127.199]
2019-12-28T13:45:07+01:00,[60],[127.199]
2019-12-28T13:45:12+01:00,[60],[128.199]
2019-12-28T13:45:19+01:00,[60],[127.199]
2019-12-28T13:45:25+01:00,[60],[129.7]
2019-12-28T13:45:33+01:00,[60],[129.2]
2019-12-28T13:45:39+01:00,[60],[129.2]
2019-12-28T13:45:44+01:00,[60],[129.2]
2019-12-28T13:45:49+01:00,[60],[134.1]
2019-12-28T13:45:55+01:00,[60],[129.2]
2019-12-28T13:46:02+01:00,[60],[134.1]
2019-12-28T13:46:09+01:00,[60],[129.7]
2019-12-28T13:46:22+01:00,[60],[129.2]
2019-12-28T13:46:28+01:00,[60],[130.2]
2019-12-28T13:46:33+01:00,[60],[129.7]
2019-12-28T13:46:38+01:00,[60],[129.7]
2019-12-28T13:46:46+01:00,[60],[129.7]
2019-12-28T13:46:52+01:00,[60],[129.9]
2019-12-28T13:46:56+01:00,[60],[129.9]
2019-12-28T13:47:00+01:00,[60],[129.9]
2019-12-28T13:47:04+01:00,[60],[129.7]
2019-12-28T13:47:10+01:00,[60],[129.7]
2019-12-28T13:47:15+01:00,[60],[129.9]
2019-12-28T13:47:23+01:00,[60],[133]
