start,duration,value
2019-12-28T12:45:21+01:00,[60],[0]
2019-12-28T12:45:26+01:00,[60],[0]
2019-12-28T12:45:36+01:00,[60],[0]
2019-12-28T12:45:41+01:00,[60],[0]
2019-12-28T12:46:23+01:00,[60],[0]
2019-12-28T12:46:27+01:00,[60],[0.939]
2019-12-28T12:46:54+01:00,[60],[1.599]
2019-12-28T12:47:35+01:00,[60],[0]
2019-12-28T12:47:39+01:00,[60],[0.68]
2019-12-28T12:50:14+01:00,[60],[0]
2019-12-28T12:50:19+01:00,[60],[0]
2019-12-28T13:36:57+01:00,[60],[0]
2019-12-28T13:37:06+01:00,[60],[0.667]
2019-12-28T13:37:12+01:00,[60],[0.744]
2019-12-28T13:37:25+01:00,[60],[0.064]
2019-12-28T13:37:26+01:00,[60],[0.084]
2019-12-28T13:37:27+01:00,[60],[0.092]
2019-12-28T13:37:30+01:00,[60],[0.151]
2019-12-28T13:37:32+01:00,[60],[0.169]
2019-12-28T13:37:33+01:00,[60],[0.174]
2019-12-28T13:37:35+01:00,[60],[0.312]
2019-12-28T13:37:36+01:00,[60],[0.431]
2019-12-28T13:37:40+01:00,[60],[0.601]
2019-12-28T13:37:42+01:00,[60],[0.587]
2019-12-28T13:37:47+01:00,[60],[0.455]
2019-12-28T13:37:50+01:00,[60],[0.333]
2019-12-28T13:37:57+01:00,[60],[0.488]
2019-12-28T13:37:58+01:00,[60],[0.593]
2019-12-28T13:38:04+01:00,[60],[0.682]
2019-12-28T13:38:06+01:00,[60],[0.746]
2019-12-28T13:38:11+01:00,[60],[0.881]
2019-12-28T13:38:14+01:00,[60],[0.903]
2019-12-28T13:38:21+01:00,[60],[1.129]
2019-12-28T13:38:23+01:00,[60],[1.129]
2019-12-28T13:38:30+01:00,[60],[1.076]
2019-12-28T13:38:31+01:00,[60],[1.117]
2019-12-28T13:38:36+01:00,[60],[0.639]
2019-12-28T13:38:37+01:00,[60],[1.005]
2019-12-28T13:38:38+01:00,[60],[2.112]
