start,duration,value
2019-12-28T12:45:21+01:00,[60],[699.999]
2019-12-28T12:45:26+01:00,[60],[56.099]
2019-12-28T12:45:36+01:00,[60],[699.999]
2019-12-28T12:45:41+01:00,[60],[98.4]
2019-12-28T12:46:23+01:00,[60],[130.054]
2019-12-28T12:46:27+01:00,[60],[46.765]
2019-12-28T12:46:54+01:00,[60],[46.743]
2019-12-28T12:47:35+01:00,[60],[144.727]
2019-12-28T12:47:39+01:00,[60],[375.725]
2019-12-28T12:50:14+01:00,[60],[699.999]
2019-12-28T12:50:19+01:00,[60],[56.099]
2019-12-28T13:36:57+01:00,[60],[15.501]
2019-12-28T13:37:06+01:00,[60],[28.945]
2019-12-28T13:37:12+01:00,[60],[28.941]
2019-12-28T13:37:25+01:00,[60],[18.382]
2019-12-28T13:37:26+01:00,[60],[18.068]
2019-12-28T13:37:27+01:00,[60],[18.041]
2019-12-28T13:37:30+01:00,[60],[17.996]
2019-12-28T13:37:32+01:00,[60],[17.83]
2019-12-28T13:37:33+01:00,[60],[17.632]
2019-12-28T13:37:35+01:00,[60],[16.659]
2019-12-28T13:37:36+01:00,[60],[16.455]
2019-12-28T13:37:40+01:00,[60],[15.539]
2019-12-28T13:37:42+01:00,[60],[15.178]
2019-12-28T13:37:47+01:00,[60],[14.661]
2019-12-28T13:37:50+01:00,[60],[14.147]
2019-12-28T13:37:57+01:00,[60],[13.88]
2019-12-28T13:37:58+01:00,[60],[13.935]
2019-12-28T13:38:04+01:00,[60],[13.52]
2019-12-28T13:38:06+01:00,[60],[13.685]
2019-12-28T13:38:11+01:00,[60],[14.09]
2019-12-28T13:38:14+01:00,[60],[14.031]
2019-12-28T13:38:21+01:00,[60],[14.045]
2019-12-28T13:38:23+01:00,[60],[14.135]
2019-12-28T13:38:30+01:00,[60],[14.43]
2019-12-28T13:38:31+01:00,[60],[14.559]
2019-12-28T13:38:36+01:00,[60],[15.5]
2019-12-28T13:38:37+01:00,[60],[15.392]
2019-12-28T13:38:38+01:00,[60],[15.296]
2019-12-28T13:38:39+01:00,[60],[15.201]
2019-12-28T13:38:42+01:00,[60],[15.383]
2019-12-28T13:38:44+01:00,[60],[15.362]
2019-12-28T13:38:48+01:00,[60],[15.454]
2019-12-28T13:38:52+01:00,[60],[15.477]
2019-12-28T13:38:54+01:00,[60],[15.524]
2019-12-28T13:38:57+01:00,[60],[15.335]
2019-12-28T13:38:59+01:00,[60],[15.246]
2019-12-28T13:39:02+01:00,[60],[15.01]
2019-12-28T13:39:03+01:00,[60],[14.8]
2019-12-28T13:39:06+01:00,[60],[15.284]
2019-12-28T13:39:07+01:00,[60],[15.303]
2019-12-28T13:39:12+01:00,[60],[13.072]
2019-12-28T13:39:13+01:00,[60],[12.949]
2019-12-28T13:39:17+01:00,[60],[12.675]
2019-12-28T13:39:19+01:00,[60],[12.701]
2019-12-28T13:39:26+01:00,[60],[12.614]
2019-12-28T13:39:27+01:00,[60],[12.692]
2019-12-28T13:39:32+01:00,[60],[13.593]
2019-12-28T13:39:33+01:00,[60],[13.647]
2019-12-28T13:39:35+01:00,[60],[13.552]
2019-12-28T13:39:44+01:00,[60],[16.951]
2019-12-28T13:39:45+01:00,[60],[17.038]
2019-12-28T13:39:48+01:00,[60],[17.459]
2019-12-28T13:39:49+01:00,[60],[17.297]
2019-12-28T13:39:50+01:00,[60],[17.222]
2019-12-28T13:39:54+01:00,[60],[16.36]
2019-12-28T13:39:55+01:00,[60],[16.333]
2019-12-28T13:39:58+01:00,[60],[15.607]
2019-12-28T13:39:59+01:00,[60],[15.619]
2019-12-28T13:40:03+01:00,[60],[15.468]
2019-12-28T13:40:04+01:00,[60],[15.402]
2019-12-28T13:40:11+01:00,[60],[16.5]
2019-12-28T13:40:13+01:00,[60],[16.326]
2019-12-28T13:40:18+01:00,[60],[17.056]
2019-12-28T13:40:19+01:00,[60],[17.152]
2019-12-28T13:40:24+01:00,[60],[17.333]
2019-12-28T13:40:25+01:00,[60],[17.163]
2019-12-28T13:40:31+01:00,[60],[16.454]
2019-12-28T13:40:32+01:00,[60],[16.065]
2019-12-28T13:40:38+01:00,[60],[15.689]
2019-12-28T13:40:39+01:00,[60],[15.649]
2019-12-28T13:40:46+01:00,[60],[14.81]
2019-12-28T13:40:47+01:00,[60],[15.314]
2019-12-28T13:40:56+01:00,[60],[17.34]
2019-12-28T13:40:57+01:00,[60],[17.739]
2019-12-28T13:41:03+01:00,[60],[20.677]
2019-12-28T13:41:07+01:00,[60],[19.169]
2019-12-28T13:41:10+01:00,[60],[17.965]
2019-12-28T13:41:14+01:00,[60],[18.263]
2019-12-28T13:41:21+01:00,[60],[18.524]
