start,duration,value
2020-01-09T09:32:24+01:00,[21],[1]
2020-01-09T09:33:02+01:00,[39],[1]
2020-01-09T09:37:31+01:00,[29],[1]
2020-01-09T09:38:16+01:00,[33],[1]
2020-01-09T09:39:08+01:00,[55],[1]
2020-01-09T09:41:06+01:00,[99],[1]
2020-01-09T09:41:53+01:00,[31],[1]
2020-01-09T09:43:34+01:00,[116],[1]
2020-01-09T09:44:57+01:00,[32],[1]
2020-01-09T09:45:49+01:00,[55],[1]
2020-01-09T09:48:21+01:00,[136],[1]
2020-01-09T09:49:21+01:00,[32],[1]
2020-01-09T09:51:03+01:00,[103],[1]
2020-01-09T09:51:44+01:00,[35],[1]
2020-01-09T09:53:49+01:00,[111],[1]
2020-01-09T09:54:35+01:00,[29],[1]
2020-01-09T09:55:29+01:00,[55],[1]
2020-01-09T09:56:22+01:00,[28],[1]
2020-01-09T09:57:52+01:00,[99],[1]
2020-01-09T09:59:05+01:00,[23],[1]
2020-01-09T09:59:34+01:00,[29],[1]
2020-01-09T09:59:57+01:00,[23],[1]
2020-01-25T08:06:26+01:00,[20],[1]
2020-01-25T08:06:56+01:00,[20],[1]
2020-01-25T08:08:55+01:00,[124],[1]
2020-01-25T08:09:23+01:00,[10],[1]
2020-01-25T08:11:36+01:00,[18],[1]
2020-01-25T08:12:25+01:00,[46],[1]
2020-01-25T08:12:44+01:00,[33],[1]
2020-01-25T08:13:35+01:00,[29],[1]
2020-01-25T08:14:42+01:00,[50],[1]
2020-01-25T08:15:28+01:00,[16],[1]
2020-01-25T08:15:59+01:00,[37],[1]
2020-01-25T08:17:11+01:00,[55],[1]
2020-01-25T08:17:43+01:00,[25],[1]
2020-01-25T08:18:14+01:00,[28],[1]
2020-01-25T08:18:49+01:00,[41],[1]
2020-01-25T08:20:25+01:00,[70],[1]
2020-01-25T08:20:45+01:00,[16],[1]
2020-01-25T08:23:12+01:00,[16],[1]
2020-01-25T08:24:03+01:00,[49],[1]
2020-01-25T08:24:31+01:00,[16],[1]
2020-01-25T08:29:50+01:00,[18],[1]
2020-01-25T08:30:10+01:00,[16],[1]
2020-01-25T08:30:43+01:00,[34],[1]
2020-01-25T08:31:10+01:00,[13],[1]
2020-01-25T08:31:32+01:00,[26],[1]
2020-01-25T08:34:36+01:00,[8],[1]
2020-01-25T08:35:12+01:00,[39],[1]
2020-01-25T08:36:27+01:00,[54],[1]
2020-01-25T08:37:00+01:00,[26],[1]
2020-01-25T08:43:19+01:00,[22],[1]
2020-01-25T08:44:02+01:00,[39],[1]
2020-01-25T08:44:58+01:00,[27],[1]
2020-01-25T08:45:35+01:00,[38],[1]
2020-01-25T08:49:26+01:00,[13],[1]
2020-01-25T08:49:43+01:00,[18],[1]
2020-01-25T08:50:23+01:00,[36],[1]
2020-01-25T08:51:03+01:00,[21],[1]
