start,duration,value
2019-12-28T12:45:21+01:00,[60],[51.456337]
2019-12-28T12:45:26+01:00,[60],[51.456478]
2019-12-28T12:45:36+01:00,[60],[51.456337]
2019-12-28T12:45:41+01:00,[60],[51.456478]
2019-12-28T12:46:23+01:00,[60],[51.456337]
2019-12-28T12:46:27+01:00,[60],[51.456449]
2019-12-28T12:46:54+01:00,[60],[51.456538]
2019-12-28T12:47:35+01:00,[60],[51.456337]
2019-12-28T12:47:39+01:00,[60],[51.456484]
2019-12-28T12:50:14+01:00,[60],[51.456337]
2019-12-28T12:50:19+01:00,[60],[51.456478]
2019-12-28T13:36:57+01:00,[60],[51.457802]
2019-12-28T13:37:06+01:00,[60],[51.457771]
2019-12-28T13:37:12+01:00,[60],[51.457778]
2019-12-28T13:37:25+01:00,[60],[51.457775]
2019-12-28T13:37:26+01:00,[60],[51.457774]
2019-12-28T13:37:27+01:00,[60],[51.457773]
2019-12-28T13:37:30+01:00,[60],[51.457761]
2019-12-28T13:37:32+01:00,[60],[51.457753]
2019-12-28T13:37:33+01:00,[60],[51.457751]
2019-12-28T13:37:35+01:00,[60],[51.457744]
2019-12-28T13:37:36+01:00,[60],[51.457742]
2019-12-28T13:37:40+01:00,[60],[51.457736]
2019-12-28T13:37:42+01:00,[60],[51.457733]
2019-12-28T13:37:47+01:00,[60],[51.457732]
2019-12-28T13:37:50+01:00,[60],[51.45773]
2019-12-28T13:37:57+01:00,[60],[51.457698]
2019-12-28T13:37:58+01:00,[60],[51.457692]
2019-12-28T13:38:04+01:00,[60],[51.457679]
2019-12-28T13:38:06+01:00,[60],[51.457675]
2019-12-28T13:38:11+01:00,[60],[51.457667]
2019-12-28T13:38:14+01:00,[60],[51.457665]
2019-12-28T13:38:21+01:00,[60],[51.457678]
2019-12-28T13:38:23+01:00,[60],[51.457675]
2019-12-28T13:38:30+01:00,[60],[51.45764]
2019-12-28T13:38:31+01:00,[60],[51.457626]
2019-12-28T13:38:36+01:00,[60],[51.457555]
2019-12-28T13:38:37+01:00,[60],[51.457512]
2019-12-28T13:38:38+01:00,[60],[51.457465]
2019-12-28T13:38:39+01:00,[60],[51.457421]
2019-12-28T13:38:42+01:00,[60],[51.45737]
